学院,专业,学期,课程代码,课程名称,学分,课程性质,教材名称,主编,版次,出版社,ISBN,匹配状态
植物科学技术学院,植物科学与技术,第8学期,301300008008,124-5植科ComprehensivePractice,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,植物科学与技术,第8学期,301300008002,26024-5植科CropProductionPractice,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,植物科学与技术,第8学期,301300008015,412083-4植科专业PracticeofSmartCropproduction,4,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,植物科学与技术,第8学期,301300008019,246植科ComprehensiveGraduationInternship,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,植物科学与技术,第8学期,3013009911,6180126-8GraduationThesis,8,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第1学期,301300006008,植物生产类专业导论,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第1学期,3143009003,中国近现代史纲要,3,必修,中国近现代史纲要（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第1学期,310300001019,微积分C,5,必修,高等数学（第七版·上/下册）,同济大学数学系,第7版,高等教育出版社,9787308798,公共课已匹配
植物科学技术学院,种子科学与工程,第1学期,310300001009,无机及分析化学C,3,必修,无机及分析化学（第五版）,南京大学《无机及分析化学》编写组,第5版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第1学期,310300001012,无机及分析化学实验C,1,必修,无机及分析化学（第五版）,南京大学《无机及分析化学》编写组,第5版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第1学期,9093009904,军事理论,2,必修,军事理论课教程,教育部军委国防动员部,2023版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第1学期,9093009905,军事技能,2,必修,军事训练教程,教育部军委国防动员部,2023版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第1学期,3113009824,写作与沟通,1,必修,写作与沟通,马工程/本校编,最新版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第1学期,9093009774,大学生创新创业基础,1,必修,大学生创新创业基础,本校编,最新版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,1,,通识课程,,选修类别,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,1,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,1,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
植物科学技术学院,种子科学与工程,第2学期,314300001006,思想道德与法治,3,必修,思想道德与法治（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第2学期,310300001023,概率论,2,必修,概率论与数理统计（第五版）,盛骤 谢式千,第5版,高等教育出版社,9787040384876,公共课已匹配
植物科学技术学院,种子科学与工程,第2学期,310300001024,线性代数A,3,必修,线性代数（第六版）,同济大学数学系,第6版,高等教育出版社,9787040396632,公共课已匹配
植物科学技术学院,种子科学与工程,第2学期,310300001002,有机化学B,3,必修,有机化学（农科类 第三版）,汪小兰,第3版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第2学期,310300001005,有机化学实验B,1,必修,有机化学（农科类 第三版）,汪小兰,第3版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第2学期,3043009101,植物学,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第2学期,304300009022,植物学实验,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第2学期,310300001029,大学物理C,2,必修,物理学（第七版）,马文蔚,第7版,高等教育出版社,9787571720,公共课已匹配
植物科学技术学院,种子科学与工程,第2学期,310300001031,大学物理实验,1,必修,物理学（第七版）,马文蔚,第7版,高等教育出版社,9787571720,公共课已匹配
植物科学技术学院,种子科学与工程,第2学期,202300006005,大学生心理发展与指导,1,必修,大学生心理健康教育,郑日昌,最新版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第2学期,202300008001,大学生心理素质拓展,1,必修,大学生心理健康教育,郑日昌,最新版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第2学期,3143009104,形势与政策（一）,1,必修,形势与政策（最新版）,教育部组编,每年更新,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第2学期,317300001008,人工智能应用基础,2,必修,人工智能基础（通识）,大学计算机课程教指委,最新版,高等教育出版社,9787428708,公共课已匹配
植物科学技术学院,种子科学与工程,第2学期,317300001009,人工智能应用基础实验,1,必修,人工智能基础（通识）,大学计算机课程教指委,最新版,高等教育出版社,9787428708,公共课已匹配
植物科学技术学院,种子科学与工程,2,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,2,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
植物科学技术学院,种子科学与工程,第3学期,314300001008,3社会主义理论体系概论,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第3学期,314300001009,3社会主义思想概论,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第3学期,301300007144,生物化学B,4,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第3学期,301300009009,植物生物化学实验,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第3学期,301300007147,遗传学B,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第3学期,301300009011,遗传学实验C,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第3学期,304300007052,微生物学B,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第3学期,301300008015,智慧作物生产实践,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第3学期,307300008004,工程基础实践,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,3,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,3,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
植物科学技术学院,种子科学与工程,第4学期,314300001007,马克思主义基本原理,3,必修,马克思主义基本原理（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第4学期,3013009104,植物生理学,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第4学期,301300009012,植物生理学实验,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第4学期,3013009116,农业气象学,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第4学期,301300008002,作物生产实习1第4-5学期,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第4学期,9093009903,社会实践13周，暑假进行,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第4学期,301300008008,种工专业综合实习12周，暑假进行,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第4学期,301300008007,种子生产加工实践,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第4学期,301300008015,智慧作物生产实践,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,4,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,4,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
植物科学技术学院,种子科学与工程,第5学期,3013009151,作物育种学A,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第5学期,301300007019,生物统计与田间试验设计,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第5学期,301300008002,作物生产实习1第4-5学期,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第6学期,3013009396,种子检验原理与技术2第6-7学期,7,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第6学期,3013009395,种子生产学,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第6学期,301300007138,种子生物学,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第6学期,301300007136,种子加工与贮藏,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第6学期,317300001010,人工智能应用专题,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第6学期,301300008019,毕业综合实习,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第7学期,3013009396,种子检验原理与技术2第6-7学期,7,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3013009911,毕业论文6第5-8学期,8,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3143009105,形势与政策（二）,1,必修,形势与政策（最新版）,教育部组编,每年更新,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第8学期,3143009003,3484261马院OutlineofModernChineseHistory,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,314300001006,3484262马院IdeologyMoralityandRuleofLaw,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,314300001008,BasicTheoryofMaoZedongThought3484083马院,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,314300001009,BasicTheoryofXiJinpingThought3484083马院,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,314300001007,3484264马院BasicKnowledgeofMarxism,4,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3143009104,116161-2马院SituationandPolicyEducation（Ⅰ）,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,8,,体育类课程必修，实行选项制，一、二年级要求每学期修满1,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
植物科学技术学院,种子科学与工程,8,,体育类课程教学详见《华中农业大学体育教学改革实施方案》。,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
植物科学技术学院,种子科学与工程,第8学期,9093009904,232321MilitaryTheory生院,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3113009824,116161/2文法WritingandCommunication,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,202300006005,PsychologicalDevelopmentand116162生院,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,9093009774,InnovationandEntrepreneurship116161生院,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,307300008004,130303工学FundamentalEngineeringPractice,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300005012,116162植科TalkonSeedIndustryHistory,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300005001,116162植科InsectsandHumanLife,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300005003,116162植科InsectsandtheNobelPrize,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300005004,116162植科CoevolutionofInsectsandPlants,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300005005,116162植科PlantDiseasesandHumans,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300005006,116162植科MicrobeandPlant,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300005013,116162植科PlantImmunology,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300005007,116162植科GreenPesticide&ModernAgriculture,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300005008,116162植科FungiandHumanLife,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300005009,116162植科PlantNanobiotechnology,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,310300001019,微积分C580801信息CalculusC,1,必修,高等数学（第七版·上/下册）,同济大学数学系,第7版,高等教育出版社,9787308798,公共课已匹配
植物科学技术学院,种子科学与工程,第8学期,310300001009,无机及分析化学C348481化学InorganicandAnalyticalChemistryC,1,必修,无机及分析化学（第五版）,南京大学《无机及分析化学》编写组,第5版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第8学期,310300001012,InorganicandAnalytical130301化学,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,310300001023,232322信息ProbabilityTheory,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,310300001025,线性代数A348482信息LinearAlgebraA,2,必修,线性代数（第六版）,同济大学数学系,第6版,高等教育出版社,9787040396632,公共课已匹配
植物科学技术学院,种子科学与工程,第8学期,310300001029,大学物理C232322工学CollegePhysicsC,2,必修,物理学（第七版）,马文蔚,第7版,高等教育出版社,9787571720,公共课已匹配
植物科学技术学院,种子科学与工程,第8学期,310300001031,130302工学CollegePhysicsExperiment,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,310300001002,有机化学B348482化学OrganicChemistryB,2,必修,有机化学（农科类 第三版）,汪小兰,第3版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第8学期,310300001005,有机化学实验B130302化学OrganicChemistryExperimentB,2,必修,有机化学（农科类 第三版）,汪小兰,第3版,高等教育出版社,,公共课已匹配
植物科学技术学院,种子科学与工程,第8学期,3043009101,232322生科Botany,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,304300009022,130302生科ExperimentsofBotany,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,304300007052,微生物学B34828203植科MicrobiologyB,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007108,2322484植科Zoology,4,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,317300001008,FundamentalsofArtificial232322信息,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,317300001009,ExperimentsontheFundamentals130302信息,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007155,12412124植科SmartPlantProtectionApplications,4,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007144,生物化学B464643植科BiochemistryB,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300009009,ExperimentsofPlantBiochemistry125253植科,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007147,遗传学B3484803植科GeneticsB,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300009011,遗传实验C120203植科GeneticsLaboratoryPracticeC,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3013009104,348484植科PlantPhysiology,4,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300009012,125254植科ExperimentofPlantPhysiology,4,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007126,34832165植科BasicEcology,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007130,分子生物学C34832165植科MolecularBiologyC,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007139,36232306植科BiologicalResources,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007132,34832166植科GeneEngineering,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007131,34820286植科NaturalProductsChemistry,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007127,34832166植科PlantProductionandProtection,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007129,34832167植科BiologicalInformation,7,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300006008,116161植科IntroductiontoPlantProduction,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300006009,植物生产类专业导论II0.5884植科IntroductiontoPlantProductionII,4,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007076,116165植科AppliedMycology,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007077,昆虫资源学B116165植科InsectResources,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007078,116165植科MedicinalPlantCultivation,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007075,1161246植科GeneEditing,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007073,116166植科SyntheticBiology,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007112,116166植科GeneralPlantProtection,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007076,116165植科AppliedMycology,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007078,116165植科MedicinalPlantCultivation,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007079,116166植科NutritionandHealth,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3013009382,116166植科IntroductiontoIntelligentAgriculture,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,317300007074,348486信息MachineLearning,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,317300007032,232326信息ArtificialIntelligence,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,317300007007,24024166信息InternetofThingsEngineering,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,306300007005,348485经管MarketingManagement,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3013009309,BiostatisticsandField34838105植科,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007062,23216165植科ModernInstrumentalAnalysis,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007063,FermentationEngineering23216165植科,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007082,116166植科BiologicalControlAgents,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3013009347,2322486植科BreedingofEdibleFungi,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007083,116165植科FactoryCultivationofEdibleFungi,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007084,Edible/MedicinalMushroom116164植科,4,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3013009606,232323植科MedicinalPlantResources,3,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007125,232326植科MedicinalPlantBreeding,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007100,116166植科TraditionalChinesePharmaceutics,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3013009609,232325植科MolecularPharmacognosy,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3013009252,ProcessingofEdible34828206植科,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007085,ProductionandManagement116166植科,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007086,116165植科PollinatingInsects,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007087,116166植科Edible/MedicinalInsects,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007088,116166植科InsectEnemy,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007089,UtilizationofInsectBehavior116167植科,7,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007094,116164植科GenomesofPlantResistance,4,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3013009320,Interactionbetween116166植科,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007091,MiningandUtilizationof116166植科,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007092,116167植科GeneCloneandExpression,7,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007093,BiosafetyAssessmentof116167植科,7,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007015,116167植科StructureandFunctionofProteins,7,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007080,116167植科ProteinEngineering,7,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007095,"Separation,Modification116166植科andUtilizationof",6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300007096,116167植科InsectProteins,7,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,9093009905,26031Militaryskills生院,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,9093009906,Innovationand11-7生院,7,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,202300008001,ThePracticeofMentalHealth13011/2生院,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3143009105,3013-8马院SituationandPolicyEducation（Ⅱ）,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,9093009903,13014团委SocialPractice,4,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,110300008001,13011-7团委VolunteerService,7,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,110300008002,11-7团委AestheticPractice,7,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300008015,412083-4植科PracticeofSmartCropproduction,4,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300008006,Investigationof244-5植科,5,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300008005,39064植科第二学年实践FoundationPracticeofSpecialty暑期进行,4,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,301300008019,ComprehensiveGraduation246植科,6,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,种子科学与工程,第8学期,3013009911,6180124-8GraduationThesis,8,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,应用生物科学,第1学期,301300006008,植物生产类专业导论,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,应用生物科学,第1学期,3113009003,中国近现代史纲要,3,必修,中国近现代史纲要（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
植物科学技术学院,应用生物科学,第1学期,3103009004,微积分C,5,必修,高等数学（第七版·上/下册）,同济大学数学系,第7版,高等教育出版社,9787308798,公共课已匹配
植物科学技术学院,应用生物科学,第1学期,310300001008,无机及分析化学C,3,必修,无机及分析化学（第五版）,南京大学《无机及分析化学》编写组,第5版,高等教育出版社,,公共课已匹配
植物科学技术学院,应用生物科学,第1学期,310300001011,无机及分析化学实验C,1,必修,无机及分析化学（第五版）,南京大学《无机及分析化学》编写组,第5版,高等教育出版社,,公共课已匹配
植物科学技术学院,应用生物科学,第1学期,9093009904,军事理论,2,必修,军事理论课教程,教育部军委国防动员部,2023版,高等教育出版社,,公共课已匹配
植物科学技术学院,应用生物科学,第1学期,9093009905,军事技能,2,必修,军事训练教程,教育部军委国防动员部,2023版,高等教育出版社,,公共课已匹配
植物科学技术学院,应用生物科学,第1学期,3113009824,写作与沟通,1,必修,写作与沟通,马工程/本校编,最新版,高等教育出版社,,公共课已匹配
植物科学技术学院,应用生物科学,第1学期,9093009774,大学生创新创业基础,1,必修,大学生创新创业基础,本校编,最新版,高等教育出版社,,公共课已匹配
植物科学技术学院,应用生物科学,1,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
植物科学技术学院,应用生物科学,1,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
植物科学技术学院,应用生物科学,1,,通识课程,,选修类别,,,,,,待查教学大纲（专业课）
植物科学技术学院,应用生物科学,第2学期,314300001006,思想道德与法治,3,必修,思想道德与法治（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
植物科学技术学院,应用生物科学,第2学期,310300001023,概率论,2,必修,概率论与数理统计（第五版）,盛骤 谢式千,第5版,高等教育出版社,9787040384876,公共课已匹配
植物科学技术学院,应用生物科学,第2学期,310300001024,线性代数A,3,必修,线性代数（第六版）,同济大学数学系,第6版,高等教育出版社,9787040396632,公共课已匹配
植物科学技术学院,应用生物科学,第2学期,310300001002,有机化学B,3,必修,有机化学（农科类 第三版）,汪小兰,第3版,高等教育出版社,,公共课已匹配
植物科学技术学院,应用生物科学,第2学期,310300001005,有机化学实验B,1,必修,有机化学（农科类 第三版）,汪小兰,第3版,高等教育出版社,,公共课已匹配
植物科学技术学院,应用生物科学,第2学期,3043009101,植物学,2,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,应用生物科学,第2学期,304300009022,植物学实验,1,必修,,,,,,待查教学大纲（专业课）
植物科学技术学院,应用生物科学,第2学期,310300001029,大学物理C,2,必修,物理学（第七版）,马文蔚,第7版,高等教育出版社,9787571720,公共课已匹配
植物科学技术学院,应用生物科学,第2学期,310300001031,大学物理实验,1,必修,物理学（第七版）,马文蔚,第7版,高等教育出版社,9787571720,公共课已匹配
植物科学技术学院,应用生物科学,第2学期,202300006005,大学生心理发展与指导,1,必修,大学生心理健康教育,郑日昌,最新版,高等教育出版社,,公共课已匹配
植物科学技术学院,应用生物科学,第2学期,202300008001,大学生心理素质拓展,1,必修,大学生心理健康教育,郑日昌,最新版,高等教育出版社,,公共课已匹配
植物科学技术学院,应用生物科学,第2学期,3143009104,形势与政策（一）,1,必修,形势与政策（最新版）,教育部组编,每年更新,高等教育出版社,,公共课已匹配
植物科学技术学院,应用生物科学,第2学期,317300001008,人工智能应用基础,2,必修,人工智能基础（通识）,大学计算机课程教指委,最新版,高等教育出版社,9787428708,公共课已匹配
植物科学技术学院,应用生物科学,第2学期,317300001009,人工智能应用基础实验,1,必修,人工智能基础（通识）,大学计算机课程教指委,最新版,高等教育出版社,9787428708,公共课已匹配
植物科学技术学院,应用生物科学,2,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
